date,cpi,policy_rate,avg_hourly_earnings,inflation_yoy,real_policy_rate_approx
2015-01-01,124.3,0.75,23.58,,
2015-02-01,125.4,0.75,23.5,,
2015-03-01,126.3,0.75,23.41,,
2015-04-01,126.2,0.75,23.65,,
2015-05-01,126.9,0.75,23.64,,
2015-06-01,127.2,0.75,23.64,,
2015-07-01,127.3,0.5,23.64,,
2015-08-01,127.3,0.5,23.54,,
2015-09-01,127.1,0.5,23.63,,
2015-10-01,127.2,0.5,23.51,,
2015-11-01,127.1,0.5,23.66,,
2015-12-01,126.5,0.5,23.56,,
2016-01-01,126.8,0.5,23.73,2.011263073209979,-1.511263073209979
2016-02-01,127.1,0.5,23.74,1.3556618819776656,-0.8556618819776656
2016-03-01,127.9,0.5,23.94,1.2668250197941378,-0.7668250197941378
2016-04-01,128.3,0.5,23.66,1.6640253565768592,-1.1640253565768592
2016-05-01,128.8,0.5,23.7,1.497241922773851,-0.9972419227738509
2016-06-01,129.1,0.5,23.64,1.4937106918238907,-0.9937106918238907
2016-07-01,128.9,0.5,23.84,1.256873527101332,-0.756873527101332
2016-08-01,128.7,0.5,24.05,1.09976433621366,-0.59976433621366
2016-09-01,128.8,0.5,23.71,1.337529504327306,-0.8375295043273061
2016-10-01,129.1,0.5,24.13,1.4937106918238907,-0.9937106918238907
2016-11-01,128.6,0.5,24.13,1.1801730920534936,-0.6801730920534936
2016-12-01,128.4,0.5,24.1,1.5019762845849938,-1.0019762845849938
2017-01-01,129.5,0.5,24.03,2.1293375394321856,-1.6293375394321856
2017-02-01,129.7,0.5,24.1,2.0456333595594067,-1.5456333595594067
2017-03-01,129.9,0.5,24.17,1.5637216575449475,-1.0637216575449475
2017-04-01,130.4,0.5,24.58,1.636788776305531,-1.136788776305531
2017-05-01,130.5,0.5,24.27,1.3198757763975166,-0.8198757763975166
2017-06-01,130.4,0.5,24.35,1.0069713400464808,-0.5069713400464808
2017-07-01,130.4,0.75,24.14,1.1636927851047307,-0.41369278510473073
2017-08-01,130.5,0.75,24.11,1.3986013986014179,-0.6486013986014179
2017-09-01,130.8,1.0,24.39,1.552795031055898,-0.552795031055898
2017-10-01,130.9,1.0,24.31,1.3942680092951187,-0.39426800929511874
2017-11-01,131.3,1.0,24.4,2.0995334370140117,-1.0995334370140117
2017-12-01,130.8,1.0,24.47,1.869158878504673,-0.8691588785046731
2018-01-01,131.7,1.25,24.79,1.698841698841691,-0.448841698841691
2018-02-01,132.5,1.25,24.76,2.1588280647648617,-0.9088280647648617
2018-03-01,132.9,1.25,24.97,2.3094688221708903,-1.0594688221708903
2018-04-01,133.3,1.25,24.76,2.223926380368102,-0.973926380368102
2018-05-01,133.4,1.25,24.8,2.2222222222222365,-0.9722222222222365
2018-06-01,133.6,1.25,24.96,2.4539877300613355,-1.2039877300613355
